name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Stefan Ortega,Goalkeeper,29,6,Germany,2. Bundesliga,Arminia Bielefeld,England,Premier League,Manchester City,free transfer
Ermedin Demirovic,Centre-Forward,24,6,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,FC Augsburg,free transfer
Aaron Connolly,Centre-Forward,22,6,England,Premier League,Brighton & Hove Albion,Italy,Serie B,Venezia FC,loan transfer
Zack Steffen,Goalkeeper,27,6,England,Premier League,Manchester City,England,Championship,Middlesbrough FC,loan transfer
Luis Henrique,Left Winger,20,6,France,Ligue 1,Olympique Marseille,Brazil,Série A,Botafogo de Futebol e Regatas,loan transfer
Sávio,Right Winger,18,6,France,Ligue 1,ESTAC Troyes,Netherlands,Eredivisie,PSV Eindhoven,loan transfer
Nehuén Pérez,Centre-Back,22,6,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Udinese Calcio,?
Óscar Mingueza,Centre-Back,23,6,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,free transfer
Valentino Lazaro,Right Midfield,26,6,Italy,Serie A,Inter Milan,Italy,Serie A,Torino FC,loan transfer
Mohamed Daramy,Left Winger,20,6,Netherlands,Eredivisie,Ajax Amsterdam,Denmark,Superligaen,FC Copenhagen,loan transfer
Konrad de la Fuente,Left Winger,21,6,France,Ligue 1,Olympique Marseille,Greece,Super League 1,Olympiacos Piraeus,loan transfer
Lys Mousset,Centre-Forward,26,6,England,Championship,Sheffield United,Germany,Bundesliga,VfL Bochum,free transfer
Marin Pongracic,Centre-Back,24,6,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,US Lecce,loan transfer
Mahdi Camara,Central Midfield,24,6,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,Stade Brestois 29,loan transfer
Hannibal Mejbri,Attacking Midfield,19,6,England,Premier League,Manchester United,England,Championship,Birmingham City,loan transfer
Alexis Claude-Maurice,Attacking Midfield,24,6,France,Ligue 1,OGC Nice,France,Ligue 1,RC Lens,loan transfer
Jordan Amavi,Left-Back,28,6,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Getafe CF,loan transfer
Martin Braithwaite,Centre-Forward,31,6,Spain,LaLiga,FC Barcelona,Spain,LaLiga,RCD Espanyol Barcelona,free transfer
Callum Robinson,Left Winger,27,6,England,Championship,West Bromwich Albion,Wales,Championship,Cardiff City,?
Adil Aouchiche,Attacking Midfield,20,6,France,Ligue 2,AS Saint-Étienne,France,Ligue 1,FC Lorient,free transfer
Vakoun Issouf Bayo,Centre-Forward,25,3,Belgium,Jupiler Pro League,RSC Charleroi,England,Championship,Watford FC,5
Darko Gyabi,Central Midfield,18,-,England,Premier League 2,Manchester City U21,England,Premier League,Leeds United,5
Jean Meneses,Left Winger,29,3,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Toluca,5
Gennaro Tutino,Centre-Forward,25,3,Italy,Serie A,SSC Napoli,Italy,Serie B,Parma Calcio 1913,5
Vincent Janssen,Centre-Forward,28,2,Mexico,Liga MX Apertura,CF Monterrey,Belgium,Jupiler Pro League,Royal Antwerp FC,5
Isaak Touré,Centre-Back,19,5,France,Ligue 2,AC Le Havre,France,Ligue 1,Olympique Marseille,5
Casper Nielsen,Central Midfield,28,5,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,Belgium,Jupiler Pro League,Club Brugge KV,5
Johan Mojica,Left-Back,30,5,Spain,LaLiga,Elche CF,Spain,LaLiga,Villarreal CF,5
Arne Maier,Central Midfield,23,5,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,FC Augsburg,5
Florin Tanase,Attacking Midfield,27,5,Romania,SuperLiga,FCSB,United Arab Emirates,UAE Pro League,Al-Jazira (Abu Dhabi),3
Alessandro Florenzi,Right-Back,31,5,Italy,Serie A,AS Roma,Italy,Serie A,AC Milan,2
Sead Haksabanovic,Left Winger,23,5,Russia,1.Division,Rubin Kazan,Scotland,Premiership,Celtic FC,2
Cristian Pavón,Right Winger,26,5,Argentina,Liga Profesional,CA Boca Juniors,Brazil,Série A,Clube Atlético Mineiro,free transfer
Abdulrahman Ghareeb,Left Winger,25,3,Saudi Arabia,Without League,Al-Ahli Saudi FC,Saudi Arabia,Professional League,Al-Nassr Riad,5
Anthony Modeste,Centre-Forward,34,3,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,Borussia Dortmund,5
Pablo Torre,Attacking Midfield,19,3,Spain,LaLiga2,Racing Santander,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,5
Petar Musa,Centre-Forward,24,5,Portugal,Liga Portugal,Boavista FC,Portugal,Liga Portugal,SL Benfica,5
Ferran Jutglà,Centre-Forward,23,3,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Belgium,Jupiler Pro League,Club Brugge KV,5
Williot Swedberg,Central Midfield,18,5,Sweden,Allsvenskan,Hammarby IF,Spain,LaLiga,Celta de Vigo,5
Salis Abdul Samed,Defensive Midfield,22,3,France,Ligue 1,Clermont Foot 63,France,Ligue 1,RC Lens,5
Aboubakar Kamara,Centre-Forward,27,3,Greece,Super League 1,Aris Thessaloniki,Greece,Super League 1,Olympiacos Piraeus,5
Pietro Pellegri,Centre-Forward,21,4,Monaco,Ligue 1,AS Monaco,Italy,Serie A,Torino FC,5
Ko Itakura,Centre-Back,25,5,England,Premier League,Manchester City,Germany,Bundesliga,Borussia Mönchengladbach,5
Brice Samba,Goalkeeper,28,2,England,Premier League,Nottingham Forest,France,Ligue 1,RC Lens,5
Domagoj Bradaric,Left-Back,22,3,France,Ligue 1,LOSC Lille,Italy,Serie A,US Salernitana 1919,5
Thomas Henry,Centre-Forward,27,5,Italy,Serie B,Venezia FC,Italy,Serie A,Hellas Verona,5
Rares Ilie,Left Winger,19,1,Romania,SuperLiga,FC Rapid 1923,France,Ligue 1,OGC Nice,5
Adam Masina,Left-Back,28,3,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,5
Leo Östigard,Centre-Back,22,5,England,Premier League,Brighton & Hove Albion,Italy,Serie A,SSC Napoli,5
Luis Milla,Central Midfield,27,5,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,5
Federico Bonazzoli,Centre-Forward,25,5,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,5
Jurgen Ekkelenkamp,Central Midfield,22,3,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,Royal Antwerp FC,5
Tabata,Right Winger,25,4,Portugal,Liga Portugal,Sporting CP,Brazil,Série A,Sociedade Esportiva Palmeiras,5
Jorge Sánchez,Right-Back,24,5,Mexico,Liga MX Apertura,CF América,Netherlands,Eredivisie,Ajax Amsterdam,5
Igor Paixão,Left Winger,22,0.8,Brazil,Série A,Coritiba Foot Ball Club,Netherlands,Eredivisie,Feyenoord Rotterdam,5
Calvin Ramsay,Right-Back,18,5,Scotland,Premiership,Aberdeen FC,England,Premier League,Liverpool FC,4
Ignatius Ganago,Centre-Forward,23,5,France,Ligue 1,RC Lens,France,Ligue 1,FC Nantes,4
Petar Musa,Centre-Forward,24,5,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,Boavista FC,4
Johann Lepenant,Defensive Midfield,19,5,France,Ligue 2,SM Caen,France,Ligue 1,Olympique Lyon,4
Ezequiel Ponce,Centre-Forward,25,5,Russia,Premier Liga,Spartak Moscow,Spain,LaLiga,Elche CF,4
Andrea Carboni,Centre-Back,21,5,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,4
Jean Onana,Defensive Midfield,22,5,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,RC Lens,4
Maxim Leitsch,Centre-Back,24,5,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FSV Mainz 05,3
Stephen Eustaquio,Defensive Midfield,25,5,Portugal,Liga Portugal,FC Paços de Ferreira,Portugal,Liga Portugal,FC Porto,3
Lincoln,Attacking Midfield,23,5,Portugal,Liga Portugal,CD Santa Clara,Turkey,Süper Lig,Fenerbahce SK,3
Jordan Torunarigha,Centre-Back,24,5,Germany,Bundesliga,Hertha BSC,Belgium,Jupiler Pro League,KAA Gent,3
Rúben Semedo,Centre-Back,28,5,Greece,Super League 1,Olympiacos Piraeus,Qatar,Stars League,Al-Duhail SC,3
Jackson Muleka,Centre-Forward,22,5,Belgium,Jupiler Pro League,Standard Liège,Turkey,Süper Lig,Besiktas JK,3
Mario Vuskovic,Centre-Back,20,5,Croatia,SuperSport HNL,HNK Hajduk Split,Germany,2. Bundesliga,Hamburger SV,3
Pablo Maffeo,Right-Back,24,5,Germany,Bundesliga,VfB Stuttgart,Spain,LaLiga,RCD Mallorca,3
Josh Cullen,Central Midfield,26,5,Belgium,Jupiler Pro League,RSC Anderlecht,England,Championship,Burnley FC,3
Simon Banza,Centre-Forward,25,5,France,Ligue 1,RC Lens,Portugal,Liga Portugal,SC Braga,3
Roger Martí,Centre-Forward,31,5,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,3
Iké Ugbo,Centre-Forward,23,5,Belgium,Jupiler Pro League,KRC Genk,France,Ligue 1,ESTAC Troyes,3
Abdülkerim Bardakci,Centre-Back,27,5,Turkey,Süper Lig,Konyaspor,Turkey,Süper Lig,Galatasaray A.S.,2
Julián Quiñones,Centre-Forward,25,5,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,Atlas Guadalajara,2
Tonny Vilhena,Central Midfield,27,5,Russia,Premier Liga,FK Krasnodar,Spain,LaLiga,RCD Espanyol Barcelona,2
Pierre Lees-Melou,Central Midfield,29,5,England,Championship,Norwich City,France,Ligue 1,Stade Brestois 29,2
Jimmy Cabot,Right Midfield,28,5,France,Ligue 1,Angers SCO,France,Ligue 1,RC Lens,2
Umut Bozok,Centre-Forward,25,5,France,Ligue 1,FC Lorient,Turkey,Süper Lig,Trabzonspor,2
Lucas Perrin,Centre-Back,23,5,France,Ligue 1,Olympique Marseille,France,Ligue 1,RC Strasbourg Alsace,1
Dominik Kohr,Central Midfield,28,5,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,1
Jan Kuchta,Centre-Forward,25,5,Russia,Premier Liga,Lokomotiv Moscow,Czech Republic,Fortuna Liga,AC Sparta Prague,1
Henry Onyekuru,Left Winger,25,5,Greece,Super League 1,Olympiacos Piraeus,Turkey,Süper Lig,Adana Demirspor,1
Mark-Anthony Kaye,Central Midfield,27,5,United States,MLS,Colorado Rapids,Canada,MLS,Toronto FC,0.955
Jack Hendry,Centre-Back,27,5,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,0.6
Ludwig Augustinsson,Left-Back,28,5,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,0.5
Mathew Ryan,Goalkeeper,30,5,Spain,LaLiga,Real Sociedad,Denmark,Superligaen,FC Copenhagen,0.5
Tonny Vilhena,Central Midfield,27,5,Spain,LaLiga,RCD Espanyol Barcelona,Italy,Serie A,US Salernitana 1919,0.3
Héctor Herrera,Central Midfield,32,5,Spain,LaLiga,Atlético de Madrid,United States,MLS,Houston Dynamo FC,free transfer
Amos Pieper,Centre-Back,24,5,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,SV Werder Bremen,free transfer
Anthony Nwakaeme,Left Winger,33,5,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Al-Fayha FC,free transfer
Joselu,Centre-Forward,32,5,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,RCD Espanyol Barcelona,free transfer
Zelimkhan Bakaev,Right Winger,26,5,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Zenit St. Petersburg,free transfer
Nemanja Matić,Defensive Midfield,33,5,England,Premier League,Manchester United,Italy,Serie A,AS Roma,free transfer
Yacine Brahimi,Left Winger,32,5,Qatar,Stars League,Al-Rayyan SC,Qatar,Stars League,Al-Gharafa SC,free transfer
Sime Vrsaljko,Right-Back,30,5,Spain,LaLiga,Atlético de Madrid,Greece,Super League 1,Olympiacos Piraeus,free transfer
David Ospina,Goalkeeper,33,5,Italy,Serie A,SSC Napoli,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Sebastiano Esposito,Centre-Forward,20,5,Italy,Serie A,Inter Milan,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer
Jean Michaël Seri,Central Midfield,30,5,England,Premier League,Fulham FC,England,Championship,Hull City,free transfer
Tom Lawrence,Left Winger,28,5,England,League One,Derby County,Scotland,Premiership,Rangers FC,free transfer
Jeff Hendrick,Central Midfield,30,5,England,Premier League,Newcastle United,England,Championship,Reading FC,loan transfer
Carlos Salcedo,Centre-Back,28,5,Canada,MLS,Toronto FC,Mexico,Liga MX Apertura,FC Juárez,free transfer
Benjamin Lecomte,Goalkeeper,31,5,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Andrea Cambiaso,Left-Back,22,5,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,loan transfer
Ian Maatsen,Left-Back,20,5,England,Premier League 2,Chelsea FC U21,England,Championship,Burnley FC,loan transfer
Aaron Mooy,Central Midfield,31,5,China,Super League,Shanghai Port,Scotland,Premiership,Celtic FC,free transfer
Ronaël Pierre-Gabriel,Right-Back,24,5,Germany,Bundesliga,1.FSV Mainz 05,France,Ligue 1,RC Strasbourg Alsace,loan transfer
Yan Couto,Right-Back,20,5,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,loan transfer
Rúben Vinagre,Left-Back,23,5,Portugal,Liga Portugal,Sporting CP,England,Premier League,Everton FC,loan transfer
Ricardo Goulart,Attacking Midfield,31,5,Brazil,Série A,Santos FC,Brazil,Série B,Esporte Clube Bahia,free transfer
Riechedly Bazoer,Central Midfield,25,5,Netherlands,Eredivisie,Vitesse Arnhem,Netherlands,Eredivisie,AZ Alkmaar,free transfer
Arthur Masuaku,Left-Back,28,5,England,Premier League,West Ham United,Turkey,Süper Lig,Besiktas JK,loan transfer
Shane Duffy,Centre-Back,30,5,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,loan transfer
Levi Colwill,Centre-Back,19,5,England,Premier League 2,Chelsea FC U21,England,Premier League,Brighton & Hove Albion,loan transfer
Gonzalo Villar,Central Midfield,24,5,Italy,Serie A,AS Roma,Italy,Serie A,UC Sampdoria,loan transfer
Fernando Pacheco,Goalkeeper,30,5,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,UD Almería,free transfer
Pablo Marí,Centre-Back,28,5,England,Premier League,Arsenal FC,Italy,Serie A,AC Monza,loan transfer
Gabriel Pires,Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Botafogo de Futebol e Regatas,loan transfer
Antonio Blanco,Defensive Midfield,22,5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,loan transfer
Junior Dina Ebimbe,Central Midfield,21,5,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Eintracht Frankfurt,loan transfer
Rodrigo Muniz,Centre-Forward,21,5,England,Premier League,Fulham FC,England,Championship,Middlesbrough FC,loan transfer
Giuseppe Pezzella,Left-Back,24,5,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,US Lecce,loan transfer
Sepp van den Berg,Centre-Back,20,5,England,Premier League,Liverpool FC,Germany,Bundesliga,FC Schalke 04,loan transfer
Rémi Oudin,Right Winger,25,5,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie A,US Lecce,loan transfer
Oriol Romeu,Defensive Midfield,30,5,England,Premier League,Southampton FC,Spain,LaLiga,Girona FC,?
Simone Verdi,Attacking Midfield,30,5,Italy,Serie A,Torino FC,Italy,Serie A,Hellas Verona,loan transfer
Layvin Kurzawa,Left-Back,29,5,France,Ligue 1,Paris Saint-Germain,England,Premier League,Fulham FC,loan transfer
Sebastian Walukiewicz,Centre-Back,22,5,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,loan transfer
Soualiho Meïté,Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,US Cremonese,loan transfer
Marcos Paulo,Left Winger,21,5,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,CD Mirandés,loan transfer
Mads Bech Sörensen,Centre-Back,23,5,England,Premier League,Brentford FC,France,Ligue 1,OGC Nice,loan transfer
Dia Saba,Attacking Midfield,29,4,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),Turkey,Süper Lig,Sivasspor,free transfer
Rodrigo Aguirre,Centre-Forward,27,2,Ecuador,Serie A Segunda Etapa,LDU Quito,Mexico,Liga MX Apertura,CF Monterrey,4
Berat Özdemir,Defensive Midfield,24,4,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Ettifaq FC,2
Daniel-Kofi Kyereh,Attacking Midfield,26,3,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,SC Freiburg,4
Mateo Cassierra,Centre-Forward,25,4,Russia,Premier Liga,FC Sochi,Russia,Premier Liga,Zenit St. Petersburg,4
Denis Vavro,Centre-Back,26,3,Italy,Serie A,SS Lazio,Denmark,Superligaen,FC Copenhagen,4
Allahyar Sayyadmanesh,Centre-Forward,21,2,Turkey,Süper Lig,Fenerbahce SK,England,Championship,Hull City,4
Emirhan Ilkhan,Central Midfield,18,3,Turkey,Süper Lig,Besiktas JK,Italy,Serie A,Torino FC,4
Edu Expósito,Central Midfield,26,4,Spain,LaLiga2,SD Eibar,Spain,LaLiga,RCD Espanyol Barcelona,4
Sotiris Alexandropoulos,Central Midfield,20,3,Greece,Super League 1,Panathinaikos Athens,Portugal,Liga Portugal,Sporting CP,4
Patrick Berg,Defensive Midfield,24,4,France,Ligue 1,RC Lens,Norway,Eliteserien,FK Bodø/Glimt,4
Gastón Ávila,Centre-Back,20,4,Argentina,Liga Profesional,CA Boca Juniors,Belgium,Jupiler Pro League,Royal Antwerp FC,4
Jamie Leweling,Second Striker,21,4,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,1.FC Union Berlin,4
Andraz Sporar,Centre-Forward,28,4,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Panathinaikos Athens,3
Luca Kilian,Centre-Back,22,4,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,1. FC Köln,2
Moussa Sissoko,Central Midfield,32,4,England,Championship,Watford FC,France,Ligue 1,FC Nantes,2
Ezequiel Bullaude,Attacking Midfield,21,4,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Netherlands,Eredivisie,Feyenoord Rotterdam,2
Lorenzo Montipò,Goalkeeper,26,4,Italy,Serie B,Benevento Calcio,Italy,Serie A,Hellas Verona,1
Tiquinho Soares,Centre-Forward,31,4,Greece,Super League 1,Olympiacos Piraeus,Brazil,Série A,Botafogo de Futebol e Regatas,1
Christopher Jullien,Centre-Back,29,4,Scotland,Premiership,Celtic FC,France,Ligue 1,Montpellier HSC,1
Hiroki Ito,Centre-Back,23,4,Japan,J1 League,Júbilo Iwata,Germany,Bundesliga,VfB Stuttgart,0.4
Germán Berterame,Centre-Forward,23,4,Mexico,Liga MX Apertura,Atlético de San Luis,Mexico,Liga MX Apertura,CF Monterrey,free transfer
Gabriel Pirani,Attacking Midfield,20,4,Brazil,Série A,Santos FC,Brazil,Série A,Cuiabá Esporte Clube (MT),loan transfer
Oliver Burke,Centre-Forward,25,4,England,Championship,Sheffield United,Germany,Bundesliga,SV Werder Bremen,free transfer
Michael Gregoritsch,Centre-Forward,28,4,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,SC Freiburg,free transfer
Vinicius Souza,Defensive Midfield,23,4,Belgium,Challenger Pro League,Lommel SK,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Junior Sambia,Right-Back,25,4,France,Ligue 1,Montpellier HSC,Italy,Serie A,US Salernitana 1919,free transfer
David Okereke,Centre-Forward,24,4,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,US Cremonese,?
Benjamin Verbic,Left Winger,28,4,Ukraine,Premier Liga,Dynamo Kyiv,Greece,Super League 1,Panathinaikos Athens,free transfer
Omar Khribin,Centre-Forward,28,4,United Arab Emirates,UAE Pro League,Al-Wahda FC Abu Dhabi,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,loan transfer
Wylan Cyprien,Central Midfield,27,4,Italy,Serie B,Parma Calcio 1913,Switzerland,Super League,FC Sion,loan transfer
Bernard,Left Winger,29,4,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Greece,Super League 1,Panathinaikos Athens,free transfer
Agustín Rogel,Centre-Back,24,4,Argentina,Liga Profesional,Club Estudiantes de La Plata,Germany,Bundesliga,Hertha BSC,?
Ilan Kebbal,Attacking Midfield,24,4,France,Ligue 1,Stade Reims,France,Ligue 2,Paris FC,loan transfer
Dimitrios Pelkas,Attacking Midfield,28,4,Turkey,Süper Lig,Fenerbahce SK,England,Championship,Hull City,loan transfer
Jordan Beyer,Centre-Back,22,4,Germany,Bundesliga,Borussia Mönchengladbach,England,Championship,Burnley FC,loan transfer
Alexandro Bernabéi,Left-Back,21,3,Argentina,Liga Profesional,Club Atlético Lanús,Scotland,Premiership,Celtic FC,4
Gustavo del Prete,Centre-Forward,26,3,Argentina,Liga Profesional,Club Estudiantes de La Plata,Mexico,Liga MX Apertura,UNAM Pumas,4
Can Bozdogan,Central Midfield,21,4,Germany,Bundesliga,FC Schalke 04,Netherlands,Eredivisie,FC Utrecht,0.5
Pablo Solari,Right Winger,21,1,Chile,Primera División,CSD Colo Colo,Argentina,Liga Profesional,CA River Plate,4
Nicolás Marichal,Centre-Back,21,1,Uruguay,Primera División,Club Nacional,Russia,Premier Liga,Dynamo Moscow,4
Stefano Denswil,Centre-Back,29,4,Italy,Serie A,Bologna FC 1909,Turkey,Süper Lig,Trabzonspor,free transfer
Jens Odgaard,Centre-Forward,23,2,Italy,Serie A,US Sassuolo,Netherlands,Eredivisie,AZ Alkmaar,4
Veljko Birmancevic,Left Winger,24,3,Sweden,Allsvenskan,Malmö FF,France,Ligue 1,FC Toulouse,4
Brian Rodríguez,Left Winger,22,4,United States,MLS,Los Angeles FC,Mexico,Liga MX Apertura,CF América,5
Filippo Melegoni,Central Midfield,23,2,Italy,Serie A,Atalanta BC,Italy,Serie B,Genoa CFC,4
Michel Aebischer,Central Midfield,25,3,Switzerland,Super League,BSC Young Boys,Italy,Serie A,Bologna FC 1909,4
Michele Di Gregorio,Goalkeeper,24,3,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,4
Hugo Cuypers,Centre-Forward,25,3,Belgium,Jupiler Pro League,KV Mechelen,Belgium,Jupiler Pro League,KAA Gent,4
Bosko Sutalo,Centre-Back,22,3,Italy,Serie A,Atalanta BC,Croatia,SuperSport HNL,GNK Dinamo Zagreb,4
Jens Stage,Central Midfield,25,3,Denmark,Superligaen,FC Copenhagen,Germany,Bundesliga,SV Werder Bremen,4
Jaka Bijol,Centre-Back,23,3,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,Udinese Calcio,4
Dogukan Sinik,Left Winger,23,4,Turkey,Süper Lig,Antalyaspor,England,Championship,Hull City,4
Enzo Ebosse,Left-Back,23,2,France,Ligue 1,Angers SCO,Italy,Serie A,Udinese Calcio,4
Santiago Giménez,Centre-Forward,21,4,Mexico,Liga MX Apertura,CD Cruz Azul,Netherlands,Eredivisie,Feyenoord Rotterdam,4
Benson Manuel Hedilazio,Right Winger,25,3,Belgium,Jupiler Pro League,Royal Antwerp FC,England,Championship,Burnley FC,4
André Franco,Attacking Midfield,24,3,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,FC Porto,4
Alan Virginius,Left Winger,19,2,France,Ligue 2,FC Sochaux-Montbéliard,France,Ligue 1,LOSC Lille,4
Juan Cabal,Centre-Back,21,0.8,Colombia,Liga DIMAYOR II,Atlético Nacional,Italy,Serie A,Hellas Verona,4
Anass Zaroury,Left Winger,21,1,Belgium,Jupiler Pro League,RSC Charleroi,England,Championship,Burnley FC,4
Arthur Gomes,Left Winger,24,1,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,Sporting CP,4
Hidemasa Morita,Defensive Midfield,27,4,Portugal,Liga Portugal,CD Santa Clara,Portugal,Liga Portugal,Sporting CP,3
Martin Hongla,Defensive Midfield,24,4,Belgium,Jupiler Pro League,Royal Antwerp FC,Italy,Serie A,Hellas Verona,3
Marcus Forss,Centre-Forward,23,4,England,Premier League,Brentford FC,England,Championship,Middlesbrough FC,3
Carlos González,Centre-Forward,29,4,Mexico,Liga MX Apertura,Tigres UANL,Mexico,Liga MX Apertura,Deportivo Toluca,3
Emil Bohinen,Central Midfield,23,4,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,US Salernitana 1919,3
Alejandro Pozo,Right-Back,23,4,Spain,LaLiga,Sevilla FC,Spain,LaLiga,UD Almería,3
Néstor Araújo,Centre-Back,30,4,Spain,LaLiga,Celta de Vigo,Mexico,Liga MX Apertura,CF América,3
Luuk de Jong,Centre-Forward,31,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,PSV Eindhoven,3
Rabbi Matondo,Right Winger,21,4,Germany,Bundesliga,FC Schalke 04,Scotland,Premiership,Rangers FC,3
Jonathan Calleri,Centre-Forward,28,4,Uruguay,Primera División,Club Deportivo Maldonado,Brazil,Série A,São Paulo Futebol Clube,2
Martin Dúbravka,Goalkeeper,33,4,England,Premier League,Newcastle United,England,Premier League,Manchester United,2
Gonzalo Melero,Central Midfield,28,4,Spain,LaLiga2,Levante UD,Spain,LaLiga,UD Almería,1
Alan Mozo,Right-Back,25,4,Mexico,Liga MX Apertura,UNAM Pumas,Mexico,Liga MX Apertura,Deportivo Guadalajara,1
Elvis Rexhbecaj,Central Midfield,24,4,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,FC Augsburg,1
Michal Sadilek,Defensive Midfield,23,4,Netherlands,Eredivisie,PSV Eindhoven,Netherlands,Eredivisie,Twente Enschede FC,1
Agustín Marchesín,Goalkeeper,34,4,Portugal,Liga Portugal,FC Porto,Spain,LaLiga,Celta de Vigo,1
Kasper Schmeichel,Goalkeeper,35,4,England,Premier League,Leicester City,France,Ligue 1,OGC Nice,1
Zaydou Youssouf,Central Midfield,23,4,France,Ligue 2,AS Saint-Étienne,Portugal,Liga Portugal,FC Famalicão,1
Dylan Bronn,Centre-Back,27,4,France,Ligue 2,FC Metz,Italy,Serie A,US Salernitana 1919,1
Braian Romero,Centre-Forward,31,4,Argentina,Liga Profesional,CA River Plate,Brazil,Série A,Sport Club Internacional,0.9
Tom Krauß,Central Midfield,21,4,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,FC Schalke 04,0.5
Johan Vásquez,Centre-Back,23,4,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,0.5
Falaye Sacko,Right-Back,27,4,Portugal,Liga Portugal,Vitória Guimarães SC,France,Ligue 1,Montpellier HSC,0.5
Otabek Shukurov,Central Midfield,26,4,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,Turkey,Süper Lig,Fatih Karagümrük,0.42
Álvaro Fernández,Goalkeeper,24,4,Spain,LaLiga2,SD Huesca,Spain,LaLiga,RCD Espanyol Barcelona,0.4
Renato Kayzer,Centre-Forward,26,4,Brazil,Série A,Fortaleza Esporte Clube,"Korea, South",K League 2,Daejeon Hana Citizen,0.2
Bartosz Bialek,Centre-Forward,20,4,Germany,Bundesliga,VfL Wolfsburg,Netherlands,Eredivisie,Vitesse Arnhem,0.2
