name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Enis Destan,Centre-Forward,20,1,Turkey,Süper Lig,Trabzonspor,Poland,Ekstraklasa,Warta Poznan,0.075
Armindo Sieb,Second Striker,19,1,Germany,Regionalliga Bayern,FC Bayern Munich II,Germany,2. Bundesliga,SpVgg Greuther Fürth,0.05
John Souttar,Centre-Back,25,1,Scotland,Premiership,Heart of Midlothian FC,Scotland,Premiership,Rangers FC,free transfer
Jón Dagur Thorsteinsson,Left Winger,23,1,Denmark,Superligaen,Aarhus GF,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,free transfer
Roman Bürki,Goalkeeper,31,1,Germany,Bundesliga,Borussia Dortmund,United States,Without League,St. Louis CITY SC,free transfer
Faride Alidou,Left Winger,20,1,Germany,2. Bundesliga,Hamburger SV,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Himad Abdelli,Attacking Midfield,22,1,France,Ligue 2,AC Le Havre,France,Ligue 1,Angers SCO,free transfer
Eran Zahavi,Centre-Forward,34,1,Netherlands,Eredivisie,PSV Eindhoven,Israel,Ligat ha'Al,Maccabi Tel Aviv,free transfer
Tom Barkhuizen,Right Winger,28,1,England,Championship,Preston North End,England,League One,Derby County,free transfer
Giorgio Chiellini,Centre-Back,37,1,Italy,Serie A,Juventus FC,United States,MLS,Los Angeles FC,free transfer
Callum O'Dowda,Left Winger,27,1,England,Championship,Bristol City,Wales,Championship,Cardiff City,free transfer
Marlon Pack,Central Midfield,31,1,Wales,Championship,Cardiff City,England,League One,Portsmouth FC,free transfer
Patryk Szysz,Right Winger,24,1,Poland,Ekstraklasa,Zaglebie Lubin,Turkey,Süper Lig,Istanbul Basaksehir FK,free transfer
Reziuan Mirzov,Left Winger,29,1,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,FK Khimki,free transfer
Yuriy Gazinskiy,Central Midfield,33,1,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,Ural Yekaterinburg,free transfer
Ali Alipour,Centre-Forward,26,1,Portugal,Liga Portugal,CS Marítimo,Portugal,Liga Portugal,Gil Vicente FC,free transfer
Soner Aydogdu,Central Midfield,31,1,Turkey,Süper Lig,Istanbul Basaksehir FK,Turkey,Süper Lig,Antalyaspor,free transfer
Anderson Silva,Centre-Forward,24,1,China,Super League,Beijing Guoan,Portugal,Liga Portugal,Vitória Guimarães SC,free transfer
Alan Dzagoev,Central Midfield,32,1,Russia,Premier Liga,CSKA Moscow,Russia,1.Division,Rubin Kazan,free transfer
Roman Bezus,Attacking Midfield,31,1,Belgium,Jupiler Pro League,KAA Gent,Cyprus,Protathlima Cyta,Omonia Nicosia,free transfer
Sinan Bolat,Goalkeeper,33,1,Belgium,Jupiler Pro League,KAA Gent,Belgium,Jupiler Pro League,KVC Westerlo,free transfer
Yusuf Sari,Right Winger,23,1,Turkey,1.Lig,Caykur Rizespor,Turkey,Süper Lig,Adana Demirspor,free transfer
Anastasios Chatzigiovanis,Right Winger,25,1,Greece,Super League 1,Panathinaikos Athens,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Filip Stojkovic,Right-Back,29,1,Austria,Bundesliga,Rapid Vienna,Austria,Bundesliga,LASK,free transfer
Ryan Fredericks,Right-Back,29,1,England,Premier League,West Ham United,England,Premier League,AFC Bournemouth,free transfer
Przemyslaw Wisniewski,Centre-Back,23,1,Poland,Ekstraklasa,Górnik Zabrze,Italy,Serie B,Venezia FC,free transfer
Munir,Goalkeeper,33,1,Turkey,Süper Lig,Hatayspor,Saudi Arabia,Professional League,Al-Wehda FC,free transfer
Marçal,Left-Back,33,1,England,Premier League,Wolverhampton Wanderers,Brazil,Série A,Botafogo de Futebol e Regatas,free transfer
Youssouf M'Changama,Attacking Midfield,31,1,France,Ligue 2,EA Guingamp,France,Ligue 1,AJ Auxerre,free transfer
Raúl Gudiño,Goalkeeper,26,1,Mexico,Liga MX Apertura,Deportivo Guadalajara,United States,MLS,Atlanta United FC,free transfer
Ömer Toprak,Centre-Back,32,1,Germany,Bundesliga,SV Werder Bremen,Turkey,Süper Lig,Antalyaspor,free transfer
Kalifa Coulibaly,Centre-Forward,31,1,France,Ligue 1,FC Nantes,Serbia,Super liga Srbije,Red Star Belgrade,free transfer
Ragnar Ache,Centre-Forward,23,1,Germany,Bundesliga,Eintracht Frankfurt,Germany,2. Bundesliga,SpVgg Greuther Fürth,loan transfer
Aden Flint,Centre-Back,32,1,Wales,Championship,Cardiff City,England,Championship,Stoke City,free transfer
Pedrinho,Central Midfield,29,1,Portugal,Liga Portugal,Gil Vicente FC,Turkey,Süper Lig,MKE Ankaragücü,?
Stanislav Kritsyuk,Goalkeeper,31,1,Russia,Premier Liga,Zenit St. Petersburg,Portugal,Liga Portugal,Gil Vicente FC,free transfer
Nemanja Miletic,Centre-Back,31,1,Serbia,Super liga Srbije,FK Partizan Belgrade,Cyprus,Protathlima Cyta,Omonia Nicosia,free transfer
Gabriel,Goalkeeper,29,1,Italy,Serie A,US Lecce,Brazil,Série A,Coritiba Foot Ball Club,free transfer
Jean-Kévin Augustin,Centre-Forward,25,1,France,Ligue 1,FC Nantes,Switzerland,Super League,FC Basel 1893,free transfer
Frederik Jäkel,Centre-Back,21,1,Germany,Bundesliga,RB Leipzig,Germany,2. Bundesliga,Arminia Bielefeld,loan transfer
Burak Yilmaz,Centre-Forward,36,1,France,Ligue 1,LOSC Lille,Netherlands,Eredivisie,Fortuna Sittard,free transfer
Brayan Angulo,Left-Back,32,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Deportivo Toluca,?
Lazare Amani,Central Midfield,24,1,Belgium,Jupiler Pro League,RSC Charleroi,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,?
Jimmy Giraudon,Centre-Back,30,1,France,Ligue 1,ESTAC Troyes,France,Ligue 2,AS Saint-Étienne,free transfer
Milan Djuric,Centre-Forward,32,1,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Hellas Verona,free transfer
Yoel Bárcenas,Right Winger,28,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Mazatlán FC,free transfer
Ivan Ignatjev,Centre-Forward,23,1,Russia,1.Division,Rubin Kazan,Russia,Premier Liga,Lokomotiv Moscow,free transfer
Fernandinho,Defensive Midfield,37,1,England,Premier League,Manchester City,Brazil,Série A,Club Athletico Paranaense,free transfer
Marin Ljubicic,Centre-Forward,20,1,Croatia,SuperSport HNL,HNK Hajduk Split,Austria,Bundesliga,LASK,loan transfer
George Honeyman,Attacking Midfield,27,1,England,Championship,Hull City,England,Championship,Millwall FC,?
Ivan Santini,Centre-Forward,33,1,Saudi Arabia,Professional League,Al-Fateh,Switzerland,Super League,FC Zürich,free transfer
Dorgeles Nene,Centre-Forward,19,1,Austria,Bundesliga,Red Bull Salzburg,Belgium,Jupiler Pro League,KVC Westerlo,loan transfer
Sinan Kurt,Central Midfield,27,1,Turkey,Süper Lig,Adana Demirspor,Turkey,1.Lig,Eyüpspor,?
Yan Eteki,Central Midfield,24,1,Spain,LaLiga2,Granada CF,Portugal,Liga Portugal,Casa Pia AC,free transfer
Clément Vidal,Centre-Back,22,1,France,Ligue 1,Montpellier HSC,France,Ligue 1,AC Ajaccio,free transfer
Lukas Sadilek,Attacking Midfield,26,1,Czech Republic,Fortuna Liga,1.FC Slovacko,Czech Republic,Fortuna Liga,AC Sparta Prague,?
César Pinares,Attacking Midfield,31,1,Turkey,1.Lig,Altay SK,Chile,Primera División,CD Universidad Católica,free transfer
David Barbona,Left Winger,27,1,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Querétaro FC,loan transfer
Gavin Kilkenny,Central Midfield,22,1,England,Premier League,AFC Bournemouth,England,Championship,Stoke City,loan transfer
Simon Adingra,Left Winger,20,1,England,Premier League,Brighton & Hove Albion,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,loan transfer
Riccardo Ciervo,Left Winger,20,1,Italy,Serie A,US Sassuolo,Italy,Serie B,Frosinone Calcio,loan transfer
Rómulo Otero,Attacking Midfield,29,1,Mexico,Liga MX Apertura,CD Cruz Azul,Brazil,Série A,Fortaleza Esporte Clube,free transfer
Maya Yoshida,Centre-Back,33,1,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,FC Schalke 04,free transfer
Steven Sessegnon,Right-Back,22,1,England,Premier League,Fulham FC,England,League One,Charlton Athletic,loan transfer
Steve Mandanda,Goalkeeper,37,1,France,Ligue 1,Olympique Marseille,France,Ligue 1,Stade Rennais FC,free transfer
Ivan Saranic,Right Winger,19,1,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Slovenia,Prva Liga,NK Bravo,loan transfer
John Mary,Centre-Forward,29,1,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),Japan,J1 League,Avispa Fukuoka,?
Leonardo Sernicola,Left-Back,24,1,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,?
Zé Carlos,Right-Back,23,1,Portugal,Liga Portugal,SC Braga,Spain,LaLiga2,UD Ibiza,loan transfer
Rey Manaj,Centre-Forward,25,1,Spain,LaLiga,FC Barcelona,England,Championship,Watford FC,free transfer
Iñigo Vicente,Left Winger,24,1,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,Racing Santander,free transfer
Denys Favorov,Right-Back,31,1,Ukraine,Premier Liga,Zorya Lugansk,Poland,3 Liga - Group IV,Wieczysta Krakow,free transfer
Rubén Yáñez,Goalkeeper,28,1,Spain,LaLiga,Getafe CF,Spain,LaLiga2,Málaga CF,free transfer
Mitchell Weiser,Right-Back,28,1,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,SV Werder Bremen,free transfer
Malik Tillman,Attacking Midfield,20,1,Germany,Bundesliga,Bayern Munich,Scotland,Premiership,Rangers FC,loan transfer
Benoît Costil,Goalkeeper,35,1,France,Ligue 2,FC Girondins Bordeaux,France,Ligue 1,AJ Auxerre,free transfer
Riad Bajić,Centre-Forward,28,1,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Giresunspor,free transfer
Óscar Vanegas,Centre-Back,26,1,Mexico,Liga MX Apertura,Deportivo Toluca,Colombia,Liga DIMAYOR II,Millonarios FC,free transfer
Alonso Aceves,Left-Back,21,1,Mexico,Liga MX Apertura,CF Pachuca,Spain,LaLiga2,Real Oviedo,loan transfer
Sergi Enrich,Centre-Forward,32,1,Spain,LaLiga2,SD Ponferradina,Spain,LaLiga2,Real Oviedo,free transfer
Moussa Wagué,Right-Back,23,1,Spain,LaLiga,FC Barcelona,Croatia,SuperSport HNL,HNK Gorica,free transfer
Luis Binks,Centre-Back,20,1,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Como 1907,loan transfer
Davide Diaw,Centre-Forward,30,1,Italy,Serie A,AC Monza,Italy,Serie B,Modena FC,loan transfer
Luiz Phellype,Centre-Forward,28,1,Portugal,Liga Portugal,Sporting CP,Japan,J1 League,FC Tokyo,loan transfer
Cristo González,Centre-Forward,24,1,Italy,Serie A,Udinese Calcio,Spain,LaLiga2,Sporting Gijón,loan transfer
Nicholas Gioacchini,Centre-Forward,21,1,France,Ligue 2,SM Caen,United States,MLS,Orlando City SC,free transfer
Marcelo Flores,Attacking Midfield,18,1,England,Premier League 2,Arsenal FC U21,Spain,LaLiga2,Real Oviedo,loan transfer
Victor Lobry,Attacking Midfield,27,1,France,Ligue 2,Pau FC,France,Ligue 2,AS Saint-Étienne,free transfer
Samuel Owusu,Right Winger,26,1,Saudi Arabia,Professional League,Al-Fayha FC,Serbia,Super liga Srbije,FK Cukaricki,free transfer
Vitolo,Left Winger,32,1,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga2,UD Las Palmas,loan transfer
Dwight Gayle,Centre-Forward,32,1,England,Premier League,Newcastle United,England,Championship,Stoke City,free transfer
Jandro Orellana,Defensive Midfield,21,1,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Andorra,LaLiga2,FC Andorra,free transfer
Gabaski,Goalkeeper,33,1,Egypt,Premier League,Zamalek SC,Egypt,Premier League,Bank El Ahly,free transfer
Alonso Escoboza,Left-Back,29,1,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,CD Cruz Azul,free transfer
